,stars
41828,4
95245,5
33148,5
33781,5
77836,2
32830,5
65162,4
39366,5
22920,5
55742,5
78149,3
81847,5
97879,1
73776,5
83066,5
5248,4
88483,2
14188,5
57274,1
94601,5
58316,1
40659,5
3636,3
68549,1
93971,5
25458,3
45027,5
2031,5
46504,4
26446,5
55793,5
26387,5
45998,5
26466,3
45352,3
47617,2
32242,1
87727,5
84277,3
63267,5
51711,3
84168,5
41509,5
61329,5
99749,4
90243,5
4452,5
87422,5
18190,3
7164,5
51366,3
32982,5
4376,3
48579,5
97641,5
96789,4
65857,2
73385,2
31627,5
83835,2
72678,5
64369,5
66359,5
10923,2
14097,5
78174,4
84302,5
25506,2
27417,1
30139,4
61932,2
91110,2
31464,5
45188,2
59029,5
33425,5
90245,5
28849,5
15585,5
73179,3
1644,5
72449,5
39340,5
1131,5
56604,2
70438,2
24418,5
2305,3
8818,4
44061,5
62625,4
12530,5
21776,4
65288,4
34215,2
88246,1
7416,4
36947,4
90482,3
79846,4
90739,4
98489,5
18661,4
55094,5
88041,5
34829,3
10156,1
23313,4
64775,5
43376,4
25045,4
17582,5
77369,5
49286,5
10583,2
37509,5
83040,2
37417,1
33996,5
75896,5
92054,3
46472,4
23316,3
60564,5
34107,3
58501,4
8590,5
48289,5
87979,5
84075,5
33821,5
19852,5
84483,5
16874,5
54156,2
58758,4
6183,1
47090,2
44417,2
5780,5
91791,2
8974,5
26020,4
79387,3
68609,5
74330,5
60020,4
62238,2
32111,1
86116,4
50533,5
44582,5
65276,3
27149,4
81530,4
26482,2
27760,1
71946,3
14790,4
5952,1
66941,4
57837,5
83060,1
35366,3
69753,5
23616,2
74598,5
12312,4
74396,1
6409,1
85399,5
60219,3
88925,4
54678,5
88389,4
89054,3
21766,3
81276,5
32303,4
31638,5
176,5
92504,5
51668,5
7952,3
14944,1
38873,3
32623,5
11375,5
25138,5
30729,5
84281,3
34827,5
109,5
90728,5
59467,2
73005,4
354,1
93844,3
703,5
1993,1
87574,4
85963,2
83199,5
11661,1
47778,4
94968,4
52594,5
68072,5
43106,5
78027,5
88132,2
79520,5
55451,5
22208,5
12176,5
95234,1
664,4
14233,1
24602,4
72466,3
94247,4
10566,4
79090,5
33786,2
10512,1
76713,4
93291,4
27576,2
9919,4
62328,3
59360,5
68832,5
50466,5
13345,5
63466,1
42985,5
1033,4
15283,4
28053,5
86879,5
73405,5
62604,1
40127,5
59918,3
38453,5
36621,5
12655,3
10284,4
55136,5
70747,3
60583,5
60600,4
62849,5
28204,2
6048,5
70056,5
55403,3
11010,4
97526,4
16607,1
35700,3
86815,5
12845,5
72094,4
84864,4
99096,1
32589,5
94085,1
76270,4
23532,5
31847,5
3344,5
57084,5
59140,4
79130,5
2138,5
55010,5
39408,5
71965,4
63855,1
68739,4
95248,5
9134,5
80366,4
1944,5
19241,5
22996,1
99146,2
43522,5
66420,2
25018,5
57180,5
53496,5
52993,5
52403,2
37139,5
10642,5
93479,5
77059,4
14543,1
49958,3
51292,4
42157,5
32276,1
55657,5
83181,5
47685,5
40034,4
43075,4
2141,5
50246,4
88164,5
52728,4
1097,3
49805,4
74394,3
82946,1
74153,1
26459,5
73082,4
55688,2
50731,3
78386,5
87754,5
61203,1
36267,5
84295,5
75825,5
10527,5
29344,5
16166,2
77422,5
96539,4
87350,5
60717,5
18791,3
481,5
61280,5
61507,5
8956,5
33504,4
14174,5
450,3
90603,5
58614,1
27936,5
90382,3
65103,5
68468,5
69562,5
95521,2
50484,2
190,4
19487,5
78193,4
97760,3
5386,5
93017,5
92432,5
45035,3
73197,5
38994,5
10145,4
8808,5
57696,5
83852,5
9391,5
75523,4
69442,2
98196,1
53636,5
45818,4
88256,5
19858,3
33300,4
40853,1
96562,5
49369,4
56445,4
45403,1
41350,3
48059,5
98,4
10636,5
17998,4
90978,3
13258,5
29494,4
81643,1
58934,4
72096,2
15110,4
16510,3
49324,5
50957,1
57356,5
90785,4
81770,5
94653,4
44347,5
6434,5
17367,2
71378,1
18956,5
68962,5
79804,5
53228,3
5204,3
20419,5
99008,3
61702,5
104,4
93704,5
68205,3
80086,5
83256,5
22688,5
90374,5
31599,4
58454,1
73239,4
28051,5
30853,2
1317,5
53518,5
85609,2
30648,5
30790,1
59144,4
21242,5
2321,5
70414,4
89501,4
79869,5
59073,4
87884,1
70952,4
2044,4
63024,3
17934,1
70629,4
75989,4
74978,5
86453,5
52283,5
18213,2
15743,1
70892,4
32418,1
10369,5
69800,1
43387,5
63301,5
77727,4
90514,4
45408,4
81737,5
9155,1
35054,4
86699,5
76698,5
58371,3
84192,5
86040,1
23722,1
8243,2
77026,5
50938,4
88190,4
73026,4
17966,2
20941,5
89820,5
65188,5
36338,5
160,4
69154,5
9330,5
81555,3
14303,3
17055,5
32040,5
71110,5
35982,3
6437,5
30542,5
52505,4
15506,4
7454,5
20681,5
45138,5
45914,3
38471,5
75421,4
20248,5
77359,5
88142,5
81587,2
1851,4
73218,5
15334,5
65320,5
556,5
99820,4
99773,5
17128,4
7325,4
80362,5
11647,5
16073,5
34696,5
3010,3
12127,5
19278,2
56085,3
14523,4
65170,5
19832,5
90873,4
56223,4
87916,5
63542,2
23919,5
23913,5
10235,5
67731,5
88604,1
16162,4
13675,5
7384,5
40798,5
20203,4
20784,4
14921,3
29679,4
33523,5
1834,5
38536,5
52033,3
57486,5
54321,4
99743,4
41858,3
92858,4
87155,1
4893,5
67318,4
59523,2
59326,5
80756,5
31205,4
84815,3
15192,4
27840,5
85246,5
58403,1
23875,3
4279,4
76742,5
43045,3
1288,4
21093,5
60290,5
62498,1
30972,5
87900,5
81174,4
75026,4
83414,1
70673,3
57387,5
71875,4
36279,5
75042,5
36917,5
28991,4
52440,4
46134,5
24047,5
68977,5
55629,5
75580,5
18399,4
43345,5
19902,3
30318,5
97971,2
64183,5
46849,4
37337,1
50190,4
94701,5
2284,3
36654,5
36935,5
91442,2
71352,5
23626,5
65797,5
29688,1
8874,5
27776,5
63049,5
2722,5
82250,2
35683,3
67276,5
22653,1
27329,5
1171,5
26944,4
78536,1
52205,3
79924,5
71703,1
6061,5
26504,5
50395,5
20652,1
49820,5
73151,1
91899,3
85950,5
93858,5
81627,4
57116,3
11512,4
67535,5
39458,5
90274,5
21868,5
30940,4
98139,5
40613,3
41570,4
6284,5
25571,5
17980,1
97310,2
54190,1
49975,4
2399,4
86532,5
7880,3
37801,5
24746,4
89375,5
98277,5
33860,5
73403,5
86600,5
78090,1
91802,4
38995,1
13709,1
59084,3
7975,2
76017,1
34099,5
94176,5
47450,5
45324,4
96929,5
58206,4
56230,5
27311,4
9473,1
29651,5
46259,5
42159,2
29302,3
37091,5
80424,5
772,4
78866,5
92052,3
82082,4
90118,5
5056,4
78490,5
92652,5
4882,3
69137,1
46324,1
28213,2
39677,1
63280,3
16287,4
89972,3
66799,2
46808,1
42551,4
66769,3
21099,3
46392,5
84244,5
50917,1
30970,5
47463,5
93931,5
38042,4
31730,1
771,5
82716,2
78246,5
30912,5
58776,3
95586,2
57742,5
55558,5
90850,5
31184,5
51909,1
20438,4
22705,4
38580,5
41966,5
16125,4
89631,4
39354,5
57890,3
90704,3
67063,5
53170,4
27325,5
46331,1
34063,5
53700,4
60176,1
21922,5
79683,4
48102,5
92078,1
31633,5
52947,1
34241,4
48830,5
34258,5
16782,4
96849,5
55105,5
54424,3
91445,3
40554,2
70332,5
21724,3
60242,5
66200,1
58662,1
82652,5
3108,5
82964,5
21752,1
28193,3
3565,5
80104,2
52427,3
39596,5
6474,4
96909,5
94208,4
41956,5
20052,3
98741,1
18488,2
46140,5
80712,5
51077,1
73298,5
47489,5
82394,5
4530,4
35154,4
47097,2
61874,1
9316,4
64497,2
88958,5
20728,5
49583,1
17089,2
90310,5
10682,4
96200,3
75496,5
76572,5
97284,4
50573,2
45981,2
92606,5
8530,5
92852,3
68070,5
8426,1
94791,4
60368,1
42155,2
22370,4
29071,5
78530,4
74390,5
82389,4
22845,5
39088,2
53627,3
97783,4
58553,5
46817,3
49924,4
91272,5
93921,1
47286,3
66965,4
5018,4
10689,4
64554,5
15186,5
83508,3
95382,5
72907,4
52102,4
31749,5
64134,4
3644,4
96952,5
30150,5
13165,5
30800,5
14528,5
8682,5
96072,5
96035,5
44606,5
35058,5
7343,5
59224,1
33950,5
12668,5
99540,5
83836,5
80138,1
35933,1
57131,4
56059,5
37001,3
85980,5
48407,4
89625,3
82852,5
56916,4
87290,1
64530,5
43073,4
78902,4
15878,4
49082,5
76220,5
41365,5
9935,5
36605,3
29422,3
32153,5
95212,3
31381,5
38586,1
18611,4
29744,2
20658,1
44038,5
72606,4
42289,4
82225,5
77671,4
56599,5
53635,5
69872,3
9075,3
86288,5
74416,1
39421,5
86067,3
49748,5
27997,2
97306,4
29883,2
58331,3
8850,4
55800,5
90250,3
50890,5
53704,5
93274,5
89342,2
37240,5
64413,5
92767,5
37290,2
36286,4
75405,2
65312,5
24980,5
29542,5
88631,5
50958,2
73636,5
56002,1
60220,4
49751,5
78795,1
8755,5
20988,5
28121,4
69415,1
99916,5
31320,3
41403,5
59068,5
12265,2
33168,4
62271,1
65257,3
23757,5
42499,4
22581,5
63237,4
41816,5
41385,4
42869,5
38953,4
3550,5
13159,2
95862,5
26063,3
75785,5
41293,1
42842,5
41774,5
39584,4
57810,4
66335,5
8857,2
20024,5
72957,2
76261,5
54997,4
15531,5
17251,2
95568,4
47382,5
58526,5
35955,4
92914,5
32329,2
24910,3
38061,5
199,4
65543,5
58752,5
65359,5
67577,5
61759,5
67991,2
13183,2
86428,2
51422,5
46712,2
66227,3
56484,5
42183,5
60316,5
63842,5
27061,5
30175,5
77566,5
8480,5
10192,4
71881,1
79375,3
44468,4
80309,5
99798,2
87100,5
45453,5
72564,1
90977,5
10631,5
36675,3
53566,5
13534,5
29829,1
56476,4
77793,4
41926,5
96649,5
96137,5
95602,4
41186,4
56359,4
68425,4
71231,5
17774,4
85629,2
67637,4
74475,5
35372,5
47389,5
30488,5
22647,5
85378,2
60543,3
99861,5
73974,2
11982,3
80675,4
62567,4
22557,5
59458,3
34154,4
64271,5
15179,4
52439,2
9751,5
48944,1
47695,2
64951,5
94739,3
45705,5
96695,5
13618,5
90351,5
55827,5
27162,3
23017,2
62534,1
7105,4
55250,5
42825,2
25093,4
88900,1
82965,5
86645,1
78989,4
73268,5
43683,5
57270,4
57390,4
64822,4
76506,5
68063,5
46114,1
72737,5
45159,2
98223,3
54276,3
95886,4
83718,1
46773,5
50531,4
95142,5
47017,5
26052,5
70419,1
35,5
23160,5
83671,5
99251,2
94633,4
3380,5
4469,5
47737,4
90769,4
88516,4
39748,5
15869,3
43845,1
53437,1
67545,5
94618,4
24222,5
52399,5
3152,5
45273,4
76028,5
26212,4
24731,2
46325,5
44033,5
50479,5
70376,5
35499,2
98585,1
71401,3
80286,1
39692,5
17394,5
59078,4
43466,1
81955,5
61689,1
31299,5
15280,4
40184,5
4719,4
44048,4
35471,4
33693,5
38944,5
46532,4
13623,2
7908,5
75778,5
8740,5
37330,4
66806,3
17210,4
79940,5
2008,4
97677,5
17638,4
52801,5
17053,5
19400,5
27999,1
43122,5
57904,2
17855,5
3360,5
44509,5
99605,4
6770,5
49163,4
87855,4
19414,5
92678,5
91583,5
50384,4
68563,5
86396,3
69577,3
43396,5
95320,4
23441,2
58628,5
24068,1
70379,2
44479,4
11514,5
22397,4
11986,5
82185,5
28271,5
42895,1
70752,4
43980,5
9497,5
50642,3
29293,5
75412,3
54201,1
54707,4
6975,5
35653,5
19280,4
28219,4
94417,5
56533,5
2772,4
6973,5
17931,4
54239,5
20623,5
1606,4
41194,5
76269,5
32011,4
62951,5
6962,4
63725,1
22651,3
49320,3
99043,5
51930,4
16529,5
93136,3
95448,4
71597,5
51343,2
19694,5
35834,4
3013,5
30650,5
86481,5
66921,4
82900,5
86880,5
68053,5
84461,5
48092,4
94731,4
69439,3
44421,4
64375,4
7378,5
66268,5
64172,3
94001,5
81521,5
54223,3
44680,1
40976,5
73559,3
39904,5
1507,4
36291,3
67284,5
50745,3
47272,5
51452,5
81057,5
89546,5
74320,4
70932,3
10569,5
83927,5
87016,5
8753,5
84479,5
86425,5
79642,4
90114,5
64620,4
55667,4
19136,4
26253,2
13620,5
43535,3
37224,5
26868,5
50544,5
31538,2
93312,4
29729,5
50453,4
29971,4
40041,4
32662,5
72647,5
92599,4
97715,1
63106,4
23541,1
90747,5
39578,5
35973,4
32424,5
52844,1
43627,5
68023,5
43644,5
44313,3
61937,5
65751,5
64905,4
46411,5
67999,2
11316,4
41553,5
23835,4
74686,5
18817,5
24199,5
2863,4
49279,5
24786,4
76065,3
31273,4
40795,5
74926,4
37653,1
46428,5
81807,4
69747,3
36592,5
90558,5
83648,5
47760,4
49544,2
52405,4
80215,2
34166,5
17815,5
64201,4
77978,5
42004,3
14493,5
52432,2
38607,4
43897,3
9670,4
69164,2
20418,4
35406,1
74834,3
4057,4
15763,5
8658,4
86584,5
36505,5
44784,5
49792,5
90511,2
37683,4
17515,4
19043,5
46243,5
54919,4
70328,4
97204,5
62265,3
85704,5
71477,5
10893,5
48361,5
10140,2
19085,3
32176,3
96978,4
45892,5
78793,4
63378,4
31670,5
89888,4
29790,5
78843,5
21133,5
41332,5
53618,2
57555,1
15924,3
70662,5
43920,5
71341,1
32310,5
33751,3
16981,2
18597,5
33045,5
67119,4
83742,4
74338,2
74880,5
8610,2
91675,5
48644,2
61266,2
70297,5
54671,4
67701,3
82741,5
62586,1
25950,5
75085,3
56295,4
45622,4
83179,3
74175,2
82441,4
848,5
40087,5
21025,4
90640,1
37130,3
5148,3
25234,5
17464,1
79423,5
52785,5
91080,4
97035,5
5359,5
11380,5
41896,4
9521,5
82463,5
29248,5
4517,3
78273,3
76563,4
44236,1
26699,4
13697,5
66984,4
95828,5
16437,2
68503,5
8468,5
15071,5
21158,4
53339,5
29010,3
32993,1
83617,1
8391,4
92375,1
70099,5
87288,4
27496,4
76314,5
81805,3
29172,5
55315,5
884,5
54491,1
51511,4
2378,5
82219,4
42456,4
35093,5
6681,4
27611,5
1958,2
68779,5
6444,5
73354,4
54307,4
89421,1
20476,2
22860,5
32446,4
41188,5
49503,1
91767,3
43531,4
77268,1
7741,2
33631,5
24178,4
62165,4
37824,3
89154,5
16592,3
10189,5
38982,4
74395,4
17242,5
85043,2
7916,1
95138,3
59284,5
93671,1
73640,5
80962,3
60427,5
52778,4
64269,4
33643,3
75999,4
46338,5
28118,5
1826,2
38283,3
51437,5
40699,3
17730,4
36150,2
86237,3
59393,4
56110,1
20626,5
86366,5
15959,1
81092,5
93480,4
45725,1
57975,5
26200,4
70931,3
27761,5
92919,4
71790,5
7258,5
34375,5
53877,4
46112,2
48318,1
92127,2
75514,5
56952,4
89508,3
95945,5
18818,5
72097,3
40217,2
60971,4
44334,3
1453,1
94834,1
45781,1
27522,5
36990,5
49829,5
55314,5
60093,3
2102,5
7873,2
6769,4
54881,5
55275,4
36625,5
84261,3
75087,5
98029,5
57177,1
82705,4
91998,5
21365,4
1654,2
24981,4
58286,5
73999,4
59259,5
15269,4
9320,1
61285,5
75554,5
79384,5
71941,4
80951,4
45112,1
54472,4
38522,5
81920,3
57756,1
43161,4
99900,5
55057,5
26068,2
3721,2
54363,3
2383,3
31221,4
40017,4
44336,5
67200,5
2248,4
99730,4
14994,5
66184,3
2229,4
40339,3
54853,3
69426,5
84184,4
20868,5
40911,4
75124,4
16311,4
37828,5
77250,5
47514,3
42937,4
45074,1
85023,1
22508,1
34800,5
52981,4
16194,4
3517,5
83603,5
16776,5
27221,1
4375,5
1029,5
86542,3
48535,3
29771,5
77562,5
91713,5
14734,4
28258,1
85231,1
27184,5
8241,3
68780,5
96352,4
96588,5
9050,3
60037,1
86456,5
66011,5
22577,1
26538,4
2197,5
43583,4
84939,3
61989,1
77767,5
71735,5
25932,5
96757,4
90399,1
36863,5
66580,4
71476,2
88911,5
58800,4
30051,5
67418,5
39649,5
13516,5
20531,3
29119,1
78841,2
30730,5
21647,4
92379,4
46319,2
95607,5
45737,1
5855,1
91304,3
81725,3
81272,2
76490,1
82253,4
31642,5
39864,3
50632,2
17884,3
20699,4
81666,5
65207,2
60353,5
37167,5
53943,5
43676,5
27505,5
65345,1
53977,5
62533,5
56613,2
72049,1
69816,5
8931,1
82064,5
8725,5
32098,5
40048,4
94446,4
12824,5
33417,5
81085,3
29544,5
98807,1
95931,1
13980,5
77472,5
44307,5
79307,2
21060,5
65710,4
28908,5
21831,3
63224,5
20015,5
84801,5
6512,5
29271,5
64687,1
42516,3
29341,5
93392,3
35900,5
24383,4
46004,5
15101,5
66350,1
78509,5
39106,5
34240,5
58469,5
62155,5
42606,4
80025,3
34322,4
32170,3
97676,4
81624,4
51430,5
9632,3
53181,2
75175,5
68810,4
6314,3
